Date,Close
2014-01-02,75.94
2014-01-03,75.8
2014-01-06,75.74
2014-01-07,77.06
2014-01-08,76.44
2014-01-09,76.63
2014-01-10,76.24
2014-01-13,75.01
2014-01-14,76.06
2014-01-15,76.78
2014-01-16,76.79
2014-01-17,76.99
2014-01-21,76.18
2014-01-22,75.57
2014-01-23,75.32
2014-01-24,73.24
2014-01-27,73.06
2014-01-28,73.48
2014-01-29,73.18
2014-01-30,74.19
2014-01-31,73.25
2014-02-03,70.81
2014-02-04,70.91
2014-02-05,70.75
2014-02-06,71.03
2014-02-07,71.45
2014-02-10,71.45
2014-02-11,72.72
2014-02-12,69.72
2014-02-13,70.72
2014-02-14,71.69
2014-02-18,73.05
2014-02-19,73.42
2014-02-20,73.85
2014-02-21,77.24
2014-02-24,77.41
2014-02-25,77.33
2014-02-26,77.7
2014-02-27,78.1
2014-02-28,78.15
2014-03-03,77.87
2014-03-04,80.91
2014-03-05,80.63
2014-03-06,80.73
2014-03-07,82.2
2014-03-10,81.82
2014-03-11,81.27
2014-03-12,80.93
2014-03-13,80.15
2014-03-14,79.91
2014-03-17,80.55
2014-03-18,80.66
2014-03-19,80.21
2014-03-20,80.69
2014-03-21,79.44
2014-03-24,78.81
2014-03-25,78.67
2014-03-26,77.72
2014-03-27,77.58
2014-03-28,77.77
2014-03-31,77.73
2014-04-01,78.89
2014-04-02,78.97
2014-04-03,78.58
2014-04-04,77.19
2014-04-07,74.79
2014-04-08,74.54
2014-04-09,75.11
2014-04-10,73.59
2014-04-11,72.52
2014-04-14,73.38
2014-04-15,73.74
2014-04-16,74.27
2014-04-17,74.03
2014-04-21,74
2014-04-22,74.84
2014-04-23,74.39
2014-04-24,74.16
2014-04-25,75.34
2014-04-28,74.69
2014-04-29,75.4
2014-04-30,75.75
2014-05-01,75.93
2014-05-02,75.29
2014-05-05,75.57
2014-05-06,74.67
2014-05-07,74.32
2014-05-08,74.62
2014-05-09,74.92
2014-05-12,76.11
2014-05-13,75.69
2014-05-14,74.99
2014-05-15,74.08
2014-05-16,75.51
2014-05-19,77.07
2014-05-20,76.84
2014-05-21,77.47
2014-05-22,78.32
2014-05-23,79.59
2014-05-27,80.14
2014-05-28,79.08
2014-05-29,79.11
2014-05-30,79.29
2014-06-02,79.43
2014-06-03,79.39
2014-06-04,79.3
2014-06-05,79.36
2014-06-06,80.03
2014-06-09,79.84
2014-06-10,79.16
2014-06-11,79.17
2014-06-12,78.91
2014-06-13,78.99
2014-06-16,78.91
2014-06-17,78.84
2014-06-18,79.33
2014-06-19,79.29
