Date,Close
2014-01-02,83.41
2014-01-03,83.08
2014-01-06,82.67
2014-01-07,83.71
2014-01-08,83.68
2014-01-09,84.36
2014-01-10,83.48
2014-01-13,81
2014-01-14,82.17
2014-01-15,82.34
2014-01-16,82.55
2014-01-17,81.84
2014-01-21,81.85
2014-01-22,83.3
2014-01-23,82.36
2014-01-24,78.51
2014-01-27,76.05
2014-01-28,78.83
2014-01-29,77.7
2014-01-30,79.76
2014-01-31,75.68
2014-02-03,73.91
2014-02-04,73.12
2014-02-05,72.84
2014-02-06,74.9
2014-02-07,76.31
2014-02-10,76.35
2014-02-11,76.19
2014-02-12,75.97
2014-02-13,76.53
2014-02-14,77.39
2014-02-18,77.49
2014-02-19,76.65
2014-02-20,75.86
2014-02-21,75.7
2014-02-24,75.96
2014-02-25,76.74
2014-02-26,77.36
2014-02-27,77.76
2014-02-28,77.72
2014-03-03,76.73
2014-03-04,78.5
2014-03-05,78.2
2014-03-06,77.63
2014-03-07,77.94
2014-03-10,77.39
2014-03-11,77.9
2014-03-12,78.34
2014-03-13,76.62
2014-03-14,76.34
2014-03-17,77.83
2014-03-18,78.92
2014-03-19,78.31
2014-03-20,78.41
2014-03-21,75.99
2014-03-24,77.39
2014-03-25,75.28
2014-03-26,73.71
2014-03-27,73.34
2014-03-28,73.22
2014-03-31,74.7
2014-04-01,74.81
2014-04-02,74.7
2014-04-03,74.53
2014-04-04,72.18
2014-04-07,71.33
2014-04-08,71.52
2014-04-09,73.56
2014-04-10,71.17
2014-04-11,68.68
2014-04-14,71.18
2014-04-15,72.15
2014-04-16,73.93
2014-04-17,74.13
2014-04-21,74.31
2014-04-22,74.53
2014-04-23,73.36
2014-04-24,74.35
2014-04-25,70.66
2014-04-28,71.24
2014-04-29,72.03
2014-04-30,73.55
2014-05-01,74.22
2014-05-02,73.78
2014-05-05,74.82
2014-05-06,73.81
2014-05-07,73.87
2014-05-08,74.24
2014-05-09,74.38
2014-05-12,75.02
2014-05-13,74.83
2014-05-14,74.1
2014-05-15,73.08
2014-05-16,73.75
2014-05-19,73.86
2014-05-20,73.65
2014-05-21,75.63
2014-05-22,75.75
2014-05-23,76.45
2014-05-27,77.03
2014-05-28,76.93
2014-05-29,76.79
2014-05-30,76.45
2014-06-02,77.05
2014-06-03,76.35
2014-06-04,76.32
2014-06-05,76.84
2014-06-06,77.47
2014-06-09,76.86
2014-06-10,77.36
2014-06-11,76.87
2014-06-12,75.72
2014-06-13,75.94
2014-06-16,75.11
2014-06-17,74.98
2014-06-18,75.12
2014-06-19,74.27
2014-06-20,73.81
2014-06-23,74.14
2014-06-24,72.7
2014-06-25,73.04
2014-06-26,72.77
2014-06-27,73.4
2014-06-30,73.47
2014-07-01,75.53
2014-07-02,76.2
2014-07-03,76.74
2014-07-07,76.18
2014-07-08,75.69
2014-07-09,76.63
2014-07-10,75.47
2014-07-11,75.83
2014-07-14,77.33
2014-07-15,78.32
2014-07-16,78.31
2014-07-17,76.39
2014-07-18,77.5
2014-07-21,77.35
2014-07-22,78.27
2014-07-23,77.74
2014-07-24,77.57
2014-07-25,75.75
2014-07-28,76.19
2014-07-29,75.89
2014-07-30,75.91
2014-07-31,74.15
2014-08-01,74.98
2014-08-04,75.68
2014-08-05,75.2
2014-08-06,75.36
2014-08-07,74.06
2014-08-08,75.17
2014-08-11,75.63
2014-08-12,75.63
2014-08-13,76.3
2014-08-14,76.05
2014-08-15,75.21
2014-08-18,76.77
2014-08-19,76.4
2014-08-20,76.39
2014-08-21,76.99
2014-08-22,76.48
2014-08-25,76.43
2014-08-26,77
2014-08-27,76.64
2014-08-28,76.16
2014-08-29,75.81
2014-09-02,75.58
2014-09-03,75.94
2014-09-04,76.38
2014-09-05,76.86
2014-09-08,76.23
2014-09-09,76.07
2014-09-10,76.65
2014-09-11,75.62
2014-09-12,75.47
2014-09-15,75.24
2014-09-16,76.59
2014-09-17,76.22
2014-09-18,77.8
2014-09-19,77.28
2014-09-22,76.16
2014-09-23,75.51
2014-09-24,77.05
2014-09-25,74.72
2014-09-26,75.06
2014-09-29,74.52
2014-09-30,73.92
2014-10-01,73.32
2014-10-02,73.42
2014-10-03,74.33
2014-10-06,74.51
2014-10-07,72.94
2014-10-08,74.06
2014-10-09,71.83
2014-10-10,70.5
2014-10-13,69.78
2014-10-14,71
2014-10-15,71.3
2014-10-16,70.86
2014-10-17,71.56
2014-10-20,72.04
2014-10-21,74.16
2014-10-22,73.22
2014-10-23,74.09
2014-10-24,74
2014-10-27,74.11
2014-10-28,76
2014-10-29,75.99
2014-10-30,83.13
2014-10-31,83.75
