Date,Close
2014-01-02,22.27
2014-01-03,22.55
2014-01-06,22.45
2014-01-07,22.95
2014-01-08,23.12
2014-01-09,23.1
2014-01-10,22.92
2014-01-13,22.49
2014-01-14,22.87
2014-01-15,22.21
2014-01-16,21.7
2014-01-17,21.61
2014-01-21,21.51
2014-01-22,21.64
2014-01-23,21.68
2014-01-24,21.35
2014-01-27,21.27
2014-01-28,20.91
2014-01-29,19.7
2014-01-30,19.56
2014-01-31,19.41
2014-02-03,18.92
2014-02-04,19.24
2014-02-05,18.88
2014-02-06,18.77
2014-02-07,18.98
2014-02-10,19.17
2014-02-11,19.52
2014-02-12,19.89
2014-02-13,20.07
2014-02-14,19.66
2014-02-18,19.91
2014-02-19,19.55
2014-02-20,19.76
2014-02-21,19.43
2014-02-24,19.48
2014-02-25,18.92
2014-02-26,19.38
2014-02-27,19.36
2014-02-28,19.34
2014-03-03,19.24
2014-03-04,20.2
2014-03-05,20.35
2014-03-06,20.49
2014-03-07,20.38
2014-03-10,20.37
2014-03-11,20.27
2014-03-12,20.5
2014-03-13,20.45
2014-03-14,20.36
2014-03-17,20.61
2014-03-18,21.15
2014-03-19,20.71
2014-03-20,20.85
2014-03-21,21
2014-03-24,20.78
2014-03-25,21.01
2014-03-26,20.02
2014-03-27,19.61
2014-03-28,19.48
2014-03-31,20.01
2014-04-01,20.68
2014-04-02,20.9
2014-04-03,20.42
2014-04-04,19.9
2014-04-07,19.02
2014-04-08,19.12
2014-04-09,19.2
2014-04-10,18.73
2014-04-11,18.11
2014-04-14,18.11
2014-04-15,18.34
2014-04-16,19.07
2014-04-17,19.26
2014-04-21,19.34
2014-04-22,19.18
2014-04-23,19
2014-04-24,18.93
2014-04-25,18.65
2014-04-28,19.02
2014-04-29,19.26
2014-04-30,19.46
2014-05-01,19.06
2014-05-02,20.24
2014-05-05,20.15
2014-05-06,19.84
2014-05-07,19.73
2014-05-08,19.47
2014-05-09,19.95
2014-05-12,20.84
2014-05-13,20.36
2014-05-14,19.9
2014-05-15,20.18
2014-05-16,20.88
2014-05-19,21.15
2014-05-20,20.75
2014-05-21,21.11
2014-05-22,21.04
2014-05-23,21.02
2014-05-27,21.55
2014-05-28,21.34
2014-05-29,21.39
2014-05-30,21.33
2014-06-02,21.62
2014-06-03,21.93
2014-06-04,22.17
2014-06-05,22.4
2014-06-06,22.78
2014-06-09,23.02
2014-06-10,22.9
2014-06-11,22.64
2014-06-12,22.43
2014-06-13,22.48
2014-06-16,22.45
2014-06-17,22.38
2014-06-18,22.43
2014-06-19,22.47
2014-06-20,22.38
2014-06-23,22.27
2014-06-24,21.94
2014-06-25,21.95
2014-06-26,21.91
2014-06-27,21.89
